[2024-04-19 15:32:59,021: INFO: main: welcome to our custom log]
[2024-04-23 19:49:46,596: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-23 19:49:46,604: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-23 19:49:46,606: INFO: common: created directory at: artifacts]
[2024-04-23 19:49:46,607: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 19:49:46,608: INFO: 1720004804: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-23 19:51:49,593: INFO: 1720004804: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-23 20:19:49,230: INFO: main: >>>>>> stage DATA Ingestion stage started <<<<<<]
[2024-04-23 20:19:49,231: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-23 20:19:49,232: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-23 20:19:49,233: INFO: common: created directory at: artifacts]
[2024-04-23 20:19:49,233: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-23 20:19:49,233: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-23 20:22:22,995: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-23 20:22:23,505: INFO: main: >>>>>> stage DATA Ingestion stage completed <<<<<<

x==========x]
